llama_version,opponent_model,games,wins,losses,draws,win_pct,loss_pct,draw_pct,valid_moves,invalid_moves,valid_pct,invalid_pct,greedy_count,greedy_pct,defensiva_count,defensiva_pct,ofensiva_count,ofensiva_pct,aleatoria_count,aleatoria_pct,invalida_count,invalida_pct,x_games,x_wins,x_losses,x_draws,x_win_pct,x_loss_pct,x_draw_pct,x_valid_moves,x_invalid_moves,x_valid_pct,x_invalid_pct,x_greedy_count,x_greedy_pct,x_defensiva_count,x_defensiva_pct,x_ofensiva_count,x_ofensiva_pct,x_aleatoria_count,x_aleatoria_pct,x_invalida_count,x_invalida_pct,o_games,o_wins,o_losses,o_draws,o_win_pct,o_loss_pct,o_draw_pct,o_valid_moves,o_invalid_moves,o_valid_pct,o_invalid_pct,o_greedy_count,o_greedy_pct,o_defensiva_count,o_defensiva_pct,o_ofensiva_count,o_ofensiva_pct,o_aleatoria_count,o_aleatoria_pct,o_invalida_count,o_invalida_pct
sft,meta-llama/llama-3.1-8B-instruct,20,2,4,14,10.0,20.0,70.0,59,26,69.41,30.59,2,2.35,19,22.35,37,43.53,1,1.18,26,30.59,10,1,1,8,10.0,10.0,80.0,31,18,63.27,36.73,1,2.04,4,8.16,26,53.06,0,0.0,18,36.73,10,1,3,6,10.0,30.0,60.0,28,8,77.78,22.22,1,2.78,15,41.67,11,30.56,1,2.78,8,22.22
sft,mistralai/pixtral-12b,20,6,8,6,30.0,40.0,30.0,64,15,81.01,18.99,6,7.59,24,30.38,26,32.91,8,10.13,15,18.99,10,4,0,6,40.0,0.0,60.0,40,10,80.0,20.0,4,8.0,10,20.0,26,52.0,0,0.0,10,20.0,10,2,8,0,20.0,80.0,0.0,24,5,82.76,17.24,2,6.9,14,48.28,0,0.0,8,27.59,5,17.24
sft,mistralai/ministral-8b,20,7,5,8,35.0,25.0,40.0,64,15,81.01,18.99,7,8.86,29,36.71,20,25.32,8,10.13,15,18.99,10,4,0,6,40.0,0.0,60.0,37,11,77.08,22.92,4,8.33,14,29.17,17,35.42,2,4.17,11,22.92,10,3,5,2,30.0,50.0,20.0,27,4,87.1,12.9,3,9.68,15,48.39,3,9.68,6,19.35,4,12.9
sft,openai/gpt-3.5-turbo-16k,20,1,9,10,5.0,45.0,50.0,55,25,68.75,31.25,1,1.25,24,30.0,28,35.0,2,2.5,25,31.25,10,1,1,8,10.0,10.0,80.0,33,15,68.75,31.25,1,2.08,11,22.92,21,43.75,0,0.0,15,31.25,10,0,8,2,0.0,80.0,20.0,22,10,68.75,31.25,0,0.0,13,40.62,7,21.88,2,6.25,10,31.25
sft,deepseek/deepseek-chat-v3.1,20,1,14,5,5.0,70.0,25.0,44,28,61.11,38.89,1,1.39,21,29.17,21,29.17,1,1.39,28,38.89,10,1,5,4,10.0,50.0,40.0,22,18,55.0,45.0,1,2.5,11,27.5,10,25.0,0,0.0,18,45.0,10,0,9,1,0.0,90.0,10.0,22,10,68.75,31.25,0,0.0,10,31.25,11,34.38,1,3.12,10,31.25
sft,google/gemini-2.0-flash-lite-001,20,0,9,11,0.0,45.0,55.0,53,28,65.43,34.57,0,0.0,17,20.99,25,30.86,11,13.58,28,34.57,10,0,1,9,0.0,10.0,90.0,31,18,63.27,36.73,0,0.0,6,12.24,24,48.98,1,2.04,18,36.73,10,0,8,2,0.0,80.0,20.0,22,10,68.75,31.25,0,0.0,11,34.38,1,3.12,10,31.25,10,31.25
sft,mistralai/mistral-7b-instruct-v0.3,20,7,3,10,35.0,15.0,50.0,63,20,75.9,24.1,7,8.43,17,20.48,26,31.33,13,15.66,20,24.1,10,2,2,6,20.0,20.0,60.0,30,15,66.67,33.33,2,4.44,3,6.67,23,51.11,2,4.44,15,33.33,10,5,1,4,50.0,10.0,40.0,33,5,86.84,13.16,5,13.16,14,36.84,3,7.89,11,28.95,5,13.16
sft,qwen/qwen-2.5-7b-instruct,20,5,9,6,25.0,45.0,30.0,59,19,75.64,24.36,5,6.41,17,21.79,32,41.03,5,6.41,19,24.36,10,2,4,4,20.0,40.0,40.0,32,12,72.73,27.27,2,4.55,5,11.36,25,56.82,0,0.0,12,27.27,10,3,5,2,30.0,50.0,20.0,27,7,79.41,20.59,3,8.82,12,35.29,7,20.59,5,14.71,7,20.59
sft,google/gemma-2-9b-it,20,4,13,3,20.0,65.0,15.0,53,21,71.62,28.38,4,5.41,24,32.43,19,25.68,6,8.11,21,28.38,10,1,7,2,10.0,70.0,20.0,26,15,63.41,36.59,1,2.44,11,26.83,13,31.71,1,2.44,15,36.59,10,3,6,1,30.0,60.0,10.0,27,6,81.82,18.18,3,9.09,13,39.39,6,18.18,5,15.15,6,18.18
sft,mistralai/mixtral-8x7b-instruct,20,3,12,5,15.0,60.0,25.0,51,20,71.83,28.17,3,4.23,13,18.31,32,45.07,3,4.23,20,28.17,10,2,5,3,20.0,50.0,30.0,28,15,65.12,34.88,2,4.65,1,2.33,23,53.49,2,4.65,15,34.88,10,1,7,2,10.0,70.0,20.0,23,5,82.14,17.86,1,3.57,12,42.86,9,32.14,1,3.57,5,17.86
sft,deepseek/deepseek-v3.2,20,1,17,2,5.0,85.0,10.0,43,26,62.32,37.68,1,1.45,20,28.99,21,30.43,1,1.45,26,37.68,10,0,8,2,0.0,80.0,20.0,18,18,50.0,50.0,0,0.0,8,22.22,10,27.78,0,0.0,18,50.0,10,1,9,0,10.0,90.0,0.0,25,8,75.76,24.24,1,3.03,12,36.36,11,33.33,1,3.03,8,24.24
sft,openai/chatgpt-4o-latest,20,2,6,12,10.0,30.0,60.0,56,32,63.64,36.36,2,2.27,33,37.5,21,23.86,0,0.0,32,36.36,10,1,0,9,10.0,0.0,90.0,28,22,56.0,44.0,1,2.0,16,32.0,11,22.0,0,0.0,22,44.0,10,1,6,3,10.0,60.0,30.0,28,10,73.68,26.32,1,2.63,17,44.74,10,26.32,0,0.0,10,26.32
sft,meta-llama/llama-3.3-70b-instruct,20,3,3,14,15.0,15.0,70.0,56,31,64.37,35.63,3,3.45,29,33.33,24,27.59,0,0.0,31,35.63,10,0,0,10,0.0,0.0,100.0,25,25,50.0,50.0,0,0.0,15,30.0,10,20.0,0,0.0,25,50.0,10,3,3,4,30.0,30.0,40.0,31,6,83.78,16.22,3,8.11,14,37.84,14,37.84,0,0.0,6,16.22
sft,google/gemini-2.5-flash,20,0,17,3,0.0,85.0,15.0,43,20,68.25,31.75,0,0.0,23,36.51,20,31.75,0,0.0,20,31.75,10,0,7,3,0.0,70.0,30.0,19,18,51.35,48.65,0,0.0,9,24.32,10,27.03,0,0.0,18,48.65,10,0,10,0,0.0,100.0,0.0,24,2,92.31,7.69,0,0.0,14,53.85,10,38.46,0,0.0,2,7.69
sft,amazon/nova-pro-v1,20,3,8,9,15.0,40.0,45.0,61,23,72.62,27.38,3,3.57,31,36.9,23,27.38,4,4.76,23,27.38,10,1,3,6,10.0,30.0,60.0,27,20,57.45,42.55,1,2.13,13,27.66,13,27.66,0,0.0,20,42.55,10,2,5,3,20.0,50.0,30.0,34,3,91.89,8.11,2,5.41,18,48.65,10,27.03,4,10.81,3,8.11
